timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,85.4900,86.9243,84.0899,85.1800,85.1800,4571050,0.0000
2024-02-29,80.3200,85.8899,80.3100,85.3400,85.3400,17849820,0.0000
2024-01-31,77.3800,82.0200,75.6000,79.9100,79.9100,22162164,0.0000
2023-12-29,74.7400,78.5400,73.9300,78.0200,78.0200,15495366,0.1653
2023-11-30,67.6600,75.5600,67.6000,74.8300,74.6719,23755061,0.0000
2023-10-31,68.4100,71.4650,65.8500,67.4700,67.3274,20744313,0.0000
2023-09-29,73.0700,73.0700,67.3000,68.4400,68.2954,18054098,0.1282
2023-08-31,72.9600,73.1299,68.2700,72.5800,72.2917,13852614,0.0000
2023-07-31,70.7900,73.8000,69.5600,73.2300,72.9391,15433778,0.0000
2023-06-30,66.4600,71.1100,66.2190,70.7600,70.4789,14567881,0.1298
2023-05-31,63.4400,67.4200,62.1000,66.4500,66.0623,11146677,0.0000
2023-04-28,62.6500,63.5100,61.5400,63.5100,63.1395,11474632,0.0000
2023-03-31,58.9300,62.9200,56.9800,62.8900,62.5231,16014213,0.1284
2023-02-28,59.6600,62.4600,58.4100,58.9400,58.4723,11650589,0.0000
2023-01-31,55.4900,60.0900,53.8200,59.7100,59.2362,31938258,0.0000
2022-12-30,60.0100,60.4700,54.0100,55.1200,54.6826,34844971,0.1460
2022-11-30,57.8800,59.8000,53.4700,59.7400,59.1139,30474223,0.0000
2022-10-31,54.5000,57.9600,51.9800,57.2600,56.6599,22197273,0.0000
2022-09-30,59.6200,62.5700,54.0400,54.2100,53.6419,34241457,0.1508
2022-08-31,62.6500,66.5300,60.0500,60.0600,59.2720,15015453,0.0000
2022-07-29,56.0800,63.1600,55.7500,63.0000,62.1734,14034544,0.0000
2022-06-30,61.7400,62.5000,53.5600,56.2800,55.5416,18493403,0.1281
2022-05-31,62.5800,65.6800,55.8000,61.2800,60.3402,19371160,0.0000
2022-04-29,71.5600,72.8400,62.5800,62.7400,61.7778,13378763,0.0000
2022-03-31,68.5700,73.4500,63.2700,71.3600,70.2656,14096530,0.1148
2022-02-28,72.1200,73.1100,63.0000,68.7100,67.5470,11801229,0.0000
2022-01-31,78.9100,79.2900,65.5500,71.7700,70.5552,13648400,0.0000
2021-12-31,78.0800,79.7800,74.3925,78.5400,77.2107,9126706,0.1251
2021-11-30,76.7400,80.1899,76.2400,77.1000,75.6710,7713698,0.0000
2021-10-29,70.7200,76.6300,69.1700,76.6000,75.1803,8592068,0.0000
2021-09-30,75.0100,75.3150,70.4700,70.4700,69.1639,8372114,0.1208
2021-08-31,72.5300,75.1000,71.1500,74.8300,73.3184,5788289,0.0000
2021-07-30,69.8100,73.1050,69.4400,72.1000,70.6435,9986217,0.0000
2021-06-30,66.1000,70.0000,64.7700,69.8200,68.4096,6765750,0.1066
2021-05-28,67.0400,67.1489,62.7700,65.8800,64.4509,11343205,0.0000
2021-04-30,252.0400,269.0000,65.9390,66.8000,65.3510,4031053,0.0000
2021-03-31,249.6100,253.7100,233.3155,250.0100,61.1467,2958942,0.4102
2021-02-26,248.8300,262.8100,243.6200,245.9800,60.0617,2034221,0.0000
2021-01-29,249.0100,257.6885,241.0000,246.1300,60.0983,2148589,0.0000
2020-12-31,239.9900,249.5302,236.8350,247.8100,60.5085,2564243,0.6246
2020-11-30,217.9100,241.0200,214.4900,237.9900,57.9633,2192826,0.0000
2020-10-30,225.6700,237.5700,213.7200,216.2400,52.6660,2205502,0.0000
2020-09-30,236.1800,240.6900,210.0024,222.9000,54.2881,2765667,0.3335
2020-08-31,214.3200,235.7300,212.6300,234.2800,56.9721,2005455,0.0000
2020-07-31,197.4400,213.3000,197.4400,212.6400,51.7097,2096286,0.0000
2020-06-30,189.1700,201.1800,186.0400,197.3200,47.9842,3286426,0.4479
2020-05-29,174.4200,190.6800,171.3900,189.7100,46.0286,2839366,0.0000
2020-04-30,149.1400,178.8400,146.8800,177.8300,43.1462,3993208,0.0000
2020-03-31,174.1500,183.2000,131.8800,154.6800,37.5294,5808000,0.4918
2020-02-28,185.6400,198.1600,166.1000,172.4600,41.7125,3078259,0.0000
2020-01-31,182.1500,191.0000,180.9000,184.8600,44.7116,1765773,0.0000
2019-12-31,176.4300,182.5600,171.8100,180.9300,43.7611,1424745,0.4908
2019-11-29,169.5500,176.9000,169.2700,176.1300,42.4831,1424308,0.0000
2019-10-31,164.6900,169.4900,157.9500,168.6400,40.6765,1383228,0.0000
2019-09-30,163.5300,167.8900,161.8100,164.1600,39.5959,1626930,0.5077
2019-08-30,166.1400,168.4400,156.5200,164.3500,39.5198,1679169,0.0000
2019-07-31,164.2400,168.8800,163.0500,165.8400,39.8781,1156470,0.0000
2019-06-28,152.0600,164.6890,149.3200,162.2600,39.0172,1248459,0.4879
2019-05-31,163.3300,163.3300,152.0700,152.3000,36.5132,1435611,0.0000
2019-04-30,156.8500,163.3600,156.4600,162.5100,38.9610,2087894,0.0000
2019-03-29,152.6800,157.4200,147.9200,155.4800,37.2756,1594653,0.3762
2019-02-28,146.0300,152.9900,145.7900,151.6000,36.2565,1776470,0.0000
2019-01-31,132.0000,146.8900,130.0000,146.2700,34.9818,2465619,0.0000
2018-12-31,149.7000,149.7500,124.9000,134.4900,32.1645,3797657,0.0736
2018-11-30,146.3600,151.1100,137.2100,146.8000,35.0904,2475848,0.0000
2018-10-31,160.9100,161.0700,138.5000,145.4900,34.7772,2110110,0.0000
2018-09-28,159.2200,160.4500,156.4600,159.8400,38.2074,2109280,0.6948
2018-08-31,151.9800,160.1600,151.0400,159.6200,37.9888,1072018,0.0000
2018-07-31,146.1000,155.8100,145.6300,151.3900,36.0301,752865,0.0000
2018-06-29,146.9200,151.9700,145.3100,147.0200,34.9901,1012378,0.4456
2018-05-31,139.9600,147.1000,138.1300,146.1300,34.6730,1244753,0.0000
2018-04-30,139.0000,144.2700,134.9700,139.9700,33.2114,1185984,0.0000
2018-03-29,144.0600,148.9100,136.7600,139.6900,33.1449,1332752,0.3743
2018-02-28,147.1700,148.2000,132.5000,143.9400,34.0625,1615350,0.0000
2018-01-31,138.6900,149.8000,138.4300,147.7100,34.9546,1665598,0.0000
2017-12-29,137.0700,139.4500,134.9000,138.0300,32.6639,1588341,0.4401
2017-11-30,133.8800,137.6300,132.6600,137.2900,32.3849,669540,0.0000
2017-10-31,128.3900,133.4800,128.1900,133.2900,31.4414,650392,0.0000
2017-09-29,127.4500,128.6000,125.7300,128.2900,30.2619,818556,0.4080
2017-08-31,125.3200,127.2044,123.0360,127.0500,29.8739,996652,0.0000
2017-07-31,122.1300,126.5300,120.6300,124.8300,29.3519,755708,0.0000
2017-06-30,122.7200,124.5300,120.6795,121.6200,28.5971,1202174,0.4320
2017-05-31,119.5900,122.5500,118.5600,122.3700,28.6727,853675,0.0000
2017-04-28,116.7900,119.7200,115.3200,119.3000,27.9534,657553,0.0000
2017-03-31,116.4300,117.5900,114.5700,116.7000,27.3441,1169863,0.3600
2017-02-28,111.5800,116.1390,110.9600,115.6700,27.0188,1188245,0.0000
2017-01-31,108.2600,112.0115,107.8417,111.1300,25.9583,895620,0.0000
2016-12-30,106.7200,109.7100,105.4242,107.5300,25.1174,1001573,0.4420
2016-11-30,104.2600,107.8996,102.1200,106.6600,24.8130,915382,0.0000
2016-10-31,106.6100,106.8300,104.0899,104.3300,24.2709,506273,0.0000
2016-09-30,106.8800,107.9200,104.3200,106.8200,24.8502,515846,0.4470
