timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,439.9000,448.6400,433.6500,439.0200,439.0200,298952934,0.0000
2024-02-29,418.7900,440.5900,417.8100,439.0000,439.0000,866304358,0.0000
2024-01-31,405.8400,429.8500,395.3400,416.9700,416.9700,972369730,0.0000
2023-12-29,387.7500,412.9200,382.6600,409.5200,409.5200,866410044,1.0241
2023-11-30,351.7200,394.1400,351.6200,388.8300,387.8561,971634719,0.0000
2023-10-31,358.5400,373.7400,342.3500,350.8700,349.9911,1238754201,0.0000
2023-09-29,380.4000,380.8300,351.3600,358.2700,357.3726,960069773,0.5389
2023-08-31,382.3100,383.5600,354.7100,377.9900,376.4959,1202809086,0.0000
2023-07-31,370.0700,387.9800,363.4100,383.6800,382.1634,974887210,0.0000
2023-06-30,347.7300,372.8500,346.6600,369.4200,367.9598,1138190013,0.5040
2023-05-31,322.0900,353.9300,315.1150,347.9900,346.1390,1148337991,0.0000
2023-04-28,318.7700,322.6500,309.8900,322.5600,320.8443,991124919,0.0000
2023-03-31,293.2600,321.1700,285.1900,320.9300,319.2230,1545364607,0.4722
2023-02-28,294.4100,313.6800,290.0500,293.5600,291.5486,1094751646,0.0000
2023-01-31,268.6500,298.2600,260.3400,294.6200,292.6013,961927648,0.0000
2022-12-30,293.6900,296.8750,259.7300,266.2800,264.4555,1057037645,0.6554
2022-11-30,281.4950,293.4700,259.0800,293.3600,290.6438,1195715018,0.0000
2022-10-31,269.0700,284.6000,254.2600,277.9500,275.3765,1357214748,0.0000
2022-09-30,296.7200,311.0800,267.1000,267.2600,264.7854,1368648571,0.5186
2022-08-31,313.6500,334.4209,298.4400,299.2700,295.9717,1069415562,0.0000
2022-07-29,278.9500,316.3900,276.7501,315.4600,311.9833,1178025678,0.0000
2022-06-30,310.4700,314.5600,269.2800,280.2800,277.1910,1359865166,0.5274
2022-05-31,312.8300,330.2900,280.2100,308.2800,304.3114,1949869755,0.0000
2022-04-29,362.8100,369.3100,312.6000,313.2500,309.2175,1494180198,0.0000
2022-03-31,345.7500,371.8300,317.4500,362.5400,357.8729,1681947244,0.4337
2022-02-28,364.4300,370.1000,318.2600,346.8000,341.9120,1521356117,0.0000
2022-01-31,399.0500,402.2800,334.1500,363.0500,357.9329,1844761586,0.0000
2021-12-31,398.2800,404.5800,377.4700,397.8500,392.2425,1233015641,0.4914
2021-11-30,386.5600,408.7100,384.4200,393.8200,387.7687,918420328,0.0000
2021-10-29,358.6000,386.2800,350.3200,386.1100,380.1772,878747851,0.0000
2021-09-30,381.0400,382.7780,357.1000,357.9600,352.4597,931919464,0.4139
2021-08-31,366.2800,380.7600,359.9600,379.9500,373.6889,683466003,0.0000
2021-07-30,354.0700,368.8900,352.0400,364.5700,358.5623,810779894,0.0000
2021-06-30,335.3000,355.2300,328.2800,354.4300,348.5894,750141680,0.3968
2021-05-28,339.2300,340.0000,316.0000,333.9300,328.0492,965410817,0.0000
2021-04-30,323.0700,342.8000,322.8100,337.9900,332.0377,771172902,0.0000
2021-03-31,319.2700,324.3300,297.4500,319.1300,313.5099,1621565283,0.3947
2021-02-26,318.1100,338.1900,310.8800,314.1400,308.2259,787846094,0.0000
2021-01-29,315.1100,330.3200,305.1800,314.5600,308.6380,654958113,0.0000
2020-12-31,301.8700,314.6850,298.0900,313.7400,307.8335,569508586,0.5613
2020-11-30,271.7300,300.1700,266.9700,299.6200,293.4461,751155107,0.0000
2020-10-30,281.7900,297.4600,267.0700,269.3800,263.8292,937156210,0.0000
2020-09-30,297.6000,303.5000,260.1100,277.8400,272.1149,1325797316,0.3882
2020-08-31,268.0500,296.7450,264.6300,294.8800,288.3852,701465501,0.0000
2020-07-31,247.6400,269.7900,247.0800,265.7900,259.9359,926824942,0.0000
2020-06-30,232.4600,251.1500,231.4700,247.6000,242.1466,928724405,0.4243
2020-05-29,214.5000,233.6000,211.1200,233.3600,227.8285,845912749,0.0000
2020-04-30,184.7700,220.0400,180.8600,218.9100,213.7210,1092313731,0.0000
2020-03-31,208.8800,219.6100,164.9300,190.4000,185.8868,2191775633,0.3627
2020-02-28,220.1400,237.4700,198.1700,205.8000,200.4951,954555771,0.0000
2020-01-31,214.4000,225.8800,212.2400,219.0700,213.4231,586516030,0.0000
2019-12-31,205.1100,214.5600,199.2300,212.6100,207.1296,430876958,0.4577
2019-11-29,197.9300,206.0500,197.6300,205.1000,199.3824,352359439,0.0000
