timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,115.7400,117.9900,115.3800,117.3300,117.3300,6180862,0.0000
2024-02-29,112.5200,115.9700,111.3050,115.4200,115.4200,21253298,0.0000
2024-01-31,111.2300,113.8400,109.4700,112.4700,112.4700,26914507,0.0000
2023-12-29,106.6500,112.3600,106.4600,111.6300,111.6300,27441765,1.0995
2023-11-30,100.6900,106.8100,100.3200,106.7400,105.6878,26258405,0.0000
2023-10-31,103.0000,104.3600,98.4009,100.4500,99.4598,34289863,0.0000
2023-09-29,108.2300,108.7799,102.8450,103.3200,102.3015,21054322,0.7846
2023-08-31,110.2100,110.5000,105.6007,107.6900,105.8528,32185872,0.0000
2023-07-31,106.0000,110.8000,104.4300,110.3300,108.4478,25445168,0.0000
2023-06-30,101.5900,107.7200,100.8500,106.0700,104.2605,32789442,0.8767
2023-05-31,106.8400,107.4500,100.9600,101.3600,98.8069,39809201,0.0000
2023-04-28,105.8000,107.8200,104.4500,106.8400,104.1489,32505689,0.0000
2023-03-31,106.7000,108.8400,99.8800,105.5000,102.8427,39278301,0.7172
2023-02-28,110.3200,111.7499,106.5700,106.8800,103.4618,24731458,0.0000
2023-01-31,108.5200,111.6300,107.2000,110.7700,107.2274,39845202,0.0000
2022-12-30,113.5500,113.7800,105.8900,108.2100,104.7493,48104702,0.9745
2022-11-30,107.3300,113.1900,103.8600,113.1500,108.5395,43741915,0.0000
2022-10-31,96.2300,107.0300,94.5900,106.4800,102.1412,37600806,0.0000
2022-09-30,103.3400,107.8084,94.8000,94.8800,91.0139,42968121,0.7672
2022-08-31,105.6600,110.6500,103.7440,103.7700,98.8046,30482875,0.0000
2022-07-29,101.6200,106.5600,98.7800,106.3800,101.2898,32437290,0.0000
2022-06-30,111.8100,112.1350,98.6300,101.7000,96.8337,64184974,0.8479
2022-05-31,107.7900,112.1700,103.7400,111.3100,105.0996,52929570,0.0000
2022-04-29,112.8000,115.5288,107.3750,107.5300,101.5305,37703532,0.0000
2022-03-31,109.4800,114.3900,107.4830,112.2500,105.9872,41319329,0.6622
2022-02-28,111.6000,113.9777,104.9500,109.8800,103.1388,42828864,0.0000
2022-01-31,112.2400,115.6600,106.7500,111.5200,104.6782,63330908,0.0000
2021-12-31,107.1000,112.7150,105.3400,112.1100,105.2320,37512572,0.9386
2021-11-30,108.8700,111.1400,105.8200,105.9300,98.5753,23428442,0.0000
2021-10-29,103.9100,109.2899,103.0300,108.4400,100.9111,18969735,0.0000
2021-09-30,107.7200,107.9300,101.3700,103.3500,96.1745,24510033,0.7488
2021-08-31,105.7500,108.3900,104.7100,107.5500,99.3570,18405064,0.0000
2021-07-30,105.1900,106.0799,101.4800,105.3500,97.3246,27636225,0.0000
2021-06-30,107.6600,108.0400,102.5400,104.7700,96.7888,31573447,0.7523
2021-05-28,104.3100,108.7050,104.1400,106.8100,97.9633,29396743,0.0000
2021-04-30,101.1000,104.3799,100.6600,103.6700,95.0833,39512382,0.0000
2021-03-31,96.4000,102.0400,94.8200,101.0900,92.7170,46635121,0.6564
2021-02-26,91.6700,98.4600,91.0100,95.1500,86.6983,35823985,0.0000
2021-01-29,91.7900,96.0900,89.5800,90.9900,82.9078,39776351,0.0000
2020-12-31,90.3800,92.5500,88.9700,91.5100,83.3817,32983081,0.8096
2020-11-30,80.6400,91.0600,79.9268,89.2900,80.6349,34823616,0.0000
2020-10-30,81.2300,85.0000,77.9650,79.5400,71.8300,35444727,0.0000
2020-09-30,83.6800,86.0000,78.0200,80.9300,73.0853,40525944,0.7053
2020-08-31,81.4900,85.0900,81.0100,83.7900,75.0079,30574702,0.0000
2020-07-31,79.0200,82.8699,77.0100,81.2000,72.6894,34491401,0.0000
2020-06-30,79.9800,86.8000,76.2900,78.7800,70.5230,43702157,0.8368
2020-05-29,76.8300,80.9800,72.5300,80.2200,71.0645,36279069,0.0000
2020-04-30,67.9300,80.3000,67.1600,78.0100,69.1067,59311257,0.0000
2020-03-31,83.0200,87.6200,60.0700,70.7500,62.6753,95464799,0.5544
2020-02-28,91.7600,94.8600,80.1800,82.5000,72.5783,33939438,0.0000
2020-01-31,94.1000,94.8300,91.0400,91.3600,80.3727,29735725,0.0000
2019-12-31,91.8500,94.6200,90.0500,93.7100,82.4401,30883749,0.7790
2019-11-29,90.0000,92.1200,89.9900,91.7600,80.0587,29987806,0.0000
2019-10-31,88.9900,90.0300,85.0700,89.6600,78.2265,20635283,0.0000
2019-09-30,85.6800,90.1100,85.2100,88.7300,77.4151,19848820,0.7864
2019-08-30,88.0300,88.7300,83.3200,86.1600,74.5085,22775240,0.0000
2019-07-31,88.0000,89.3500,87.4200,88.0100,76.1084,14855878,0.0000
2019-06-28,82.7200,87.9100,82.6800,87.3800,75.5635,18504648,0.6247
2019-05-31,88.1700,88.1800,82.4500,82.5300,70.8547,21982578,0.0000
2019-04-30,86.1100,88.2500,85.8000,88.0900,75.6282,16806689,0.0000
2019-03-29,86.3800,87.1532,83.9600,85.6600,73.5419,22955015,0.6516
2019-02-28,82.9700,86.4334,82.2300,85.8700,73.1580,16481387,0.0000
2019-01-31,77.0700,82.8900,76.5800,82.7500,70.4999,44327610,0.0000
2018-12-31,87.1800,87.2100,73.1800,77.9900,66.4446,65062790,0.7388
2018-11-30,83.5500,86.4300,82.7200,86.2200,72.7273,24646649,0.0000
2018-10-31,87.5600,88.3900,80.7600,83.2600,70.2305,26757084,0.0000
2018-09-28,87.3600,89.4700,86.8300,87.0900,73.4611,10870312,0.6718
2018-08-31,86.2900,88.1200,85.2600,87.4100,73.1664,15819905,0.0000
2018-07-31,82.5700,86.5900,82.3800,86.4500,72.3628,11712956,0.0000
2018-06-29,84.3500,86.2100,82.3900,83.0500,69.5169,14009723,0.6302
2018-05-31,82.4000,85.1100,80.5700,83.9200,69.7211,17305482,0.0000
2018-04-30,82.2900,84.6400,79.7800,82.6000,68.6245,18138245,0.0000
2018-03-29,84.9500,87.2700,80.8600,82.4900,68.5331,18158725,0.6084
2018-02-28,88.8300,89.4800,80.3200,84.9400,70.0511,24099857,0.0000
2018-01-31,85.8800,90.9300,85.6700,89.1500,73.5232,26695615,0.0000
2017-12-29,84.9900,86.8900,83.9000,85.6300,70.6202,23288574,0.6431
2017-11-30,82.7600,85.4300,81.9410,85.0100,69.5864,15973308,0.0000
2017-10-31,81.1100,83.4149,81.0320,82.4800,67.5154,14728020,0.0000
2017-09-29,79.4100,81.4300,78.6300,81.0700,66.3612,12500647,0.6020
2017-08-31,79.6200,79.8369,77.8400,79.2800,64.4162,15070995,0.0000
2017-07-31,78.4000,79.5878,77.5800,79.4200,64.5299,16021460,0.0000
2017-06-30,78.0300,79.8700,77.6568,78.1600,63.5062,15272520,0.5960
2017-05-31,77.7600,77.9800,76.0700,77.8700,62.7942,18136727,0.0000
2017-04-28,77.7100,78.3069,76.5300,77.5900,62.5684,14102748,0.0000
2017-03-31,78.9400,79.6167,76.6300,77.6500,62.6168,22842463,0.5600
2017-02-28,75.8500,78.6600,75.2000,78.4500,62.8079,16628573,0.0000
2017-01-31,76.2300,76.5800,75.1910,75.7400,60.6383,28176469,0.0000
