timestamp,open,high,low,close,adjusted close,volume,dividend amount
2024-03-08,467.8300,476.2994,464.0600,470.3900,470.3900,32186643,0.0000
2024-02-29,445.3500,468.8700,444.6502,466.9300,466.9300,103472278,0.0000
2024-01-31,433.9100,451.8100,428.6400,443.8200,443.8200,112864438,0.0000
2023-12-29,418.8300,438.8400,417.4600,436.8000,436.8000,100252259,1.8011
2023-11-30,385.0900,421.1200,384.6200,419.4000,417.6510,87611481,0.0000
2023-10-31,391.9000,402.5000,375.9450,384.1700,382.5679,112739200,0.0000
2023-09-29,416.4600,416.8800,389.4500,392.7000,391.0623,85392364,1.4925
2023-08-31,419.2600,420.0800,397.8500,413.8300,410.5476,87507945,0.0000
2023-07-31,406.9200,422.1500,401.5600,420.6800,417.3433,75252699,0.0000
2023-06-30,384.2000,408.7600,382.9700,407.2800,404.0496,87061889,1.5762
2023-05-31,381.7300,388.2600,370.9200,383.8900,379.3595,74551200,0.0000
2023-04-28,375.6000,382.1200,370.9800,382.0500,377.5413,59219145,0.0000
2023-03-31,363.3400,376.3400,349.7600,376.0700,371.6318,98908997,1.4874
2023-02-28,372.4400,384.4100,361.7300,364.1100,358.3469,70631595,0.0000
2023-01-31,353.1810,375.0800,347.1900,373.4400,367.5292,76631756,0.0000
2022-12-30,375.8700,377.1900,344.3400,351.3400,345.7790,94164717,1.6717
2022-11-30,358.5300,374.5900,338.9000,374.4900,366.8090,78860409,0.0000
2022-10-31,331.7900,357.9800,319.8700,354.9500,347.6698,99172672,0.0000
2022-09-30,361.1000,378.5100,328.1200,328.3000,321.5664,110074173,1.4692
2022-08-31,376.1200,396.8900,363.1100,363.1500,354.1733,82629491,0.0000
2022-07-29,346.1600,379.6600,341.0450,378.7900,369.4267,91517549,0.0000
2022-06-30,381.6100,383.7400,334.2400,346.8800,338.3055,118461474,1.4321
2022-05-31,378.7900,394.9250,349.7600,379.6800,368.7842,142808687,0.0000
2022-04-29,416.6800,420.8200,378.0000,378.7000,367.8323,109293081,0.0000
2022-03-31,400.0100,424.7200,381.6400,415.1700,403.2557,136782177,1.3737
2022-02-28,414.3400,421.1800,377.5000,401.3600,388.5528,178123502,0.0000
2022-01-31,437.9300,441.2600,386.8400,413.6900,400.4894,209277200,0.0000
2021-12-31,424.4700,440.3600,412.7700,436.5700,422.6393,142126854,1.5329
2021-11-30,423.1900,435.4100,418.6300,419.0600,404.2324,100053866,0.0000
2021-10-29,396.2262,422.5150,391.9600,422.1600,407.2227,93894175,0.0000
2021-09-30,416.0500,417.4400,394.3400,394.4000,380.4449,103248307,1.3084
2021-08-31,404.7800,416.5600,400.9200,415.0500,399.0572,81058621,0.0000
